成交日期,证券代码,证券名称,成交数量,成交均价,成交金额,手续费,印花税,其他杂费,发生金额
20260511,,鼎通科技,711,230.110,163608.21,18.88,0.00,0.00,-163628.72
20260511,,福晶科技,-1200,108.504,130205.00,15.03,65.11,0.00,130123.56
20260511,,云南锗业,0,0.000,273975.00,31.62,68.50,0.00,-87.85
20260514,,鼎通科技,-711,249.300,177252.30,20.45,88.63,0.00,177141.45
20260514,,天孚通信,400,398.210,159284.00,18.38,0.00,0.00,-159303.97
20260514,,云南锗业,-1500,98.977,148465.00,17.13,74.24,0.00,148372.14
20260518,,宏和科技,1100,132.435,145679.00,16.81,0.00,0.00,-145697.26
20260518,,天孚通信,-400,380.800,152320.00,17.58,76.16,0.00,152224.74
20260518,,云南锗业,1600,94.450,151120.00,17.44,0.00,0.00,-151138.95
20260520,,宏和科技,0,0.000,317952.00,36.69,79.52,0.00,-67.36
20260520,,云南锗业,100,92.086,298389.00,34.44,72.32,0.00,-9318.74
20260521,,宏和科技,-1100,143.860,158246.00,18.26,79.11,0.00,158147.07
20260522,,泰晶科技,3200,49.090,157088.00,18.13,0.00,0.00,-157107.71
20260525,,炬光科技,348,469.964,163547.40,18.87,0.00,0.00,-163567.90
20260525,,泰晶科技,-3200,50.230,160736.00,18.55,80.37,0.00,160635.47
20260526,,炬光科技,-348,450.050,156617.40,18.07,78.31,0.00,156519.45
20260526,,麦格米特,1100,135.917,149509.00,17.25,0.00,0.00,-149527.76
20260527,,麦格米特,-1100,136.710,150381.00,17.35,75.20,0.00,150288.95
20260527,,泰晶科技,3300,46.300,152790.00,17.63,0.00,0.00,-152809.16
20260529,,泰晶科技,-3300,43.280,142824.00,16.48,71.41,0.00,142734.68
20260601,,鼎通科技,521,282.547,147207.21,16.99,0.00,0.00,-147225.68
20260605,,鼎通科技,-521,413.140,215245.94,24.84,107.62,0.00,215111.33
20260605,,福晶科技,1100,98.760,108636.00,12.54,0.00,0.00,-108649.63
20260605,,云南锗业,1100,88.220,97042.00,11.20,0.00,0.00,-97054.18
20260608,,福晶科技,-1100,89.364,98300.00,11.34,49.17,0.00,98238.50
20260608,,麦格米特,1100,154.010,169411.00,19.55,0.00,0.00,-169432.24
20260608,,云南锗业,-2800,82.640,231392.00,26.70,115.69,0.00,231247.29
20260609,,奕东电子,1700,101.690,172873.00,19.95,0.00,0.00,-172894.68
20260610,,麦格米特,-1100,146.580,161238.00,18.61,80.63,0.00,161137.13
20260610,,奕东电子,-1700,95.501,162352.00,18.74,81.20,0.00,162250.42
20260611,,长光华芯,431,356.881,153815.86,17.75,0.00,0.00,-153835.15
20260611,,中鸿高新,1900,77.550,147345.00,17.00,0.00,0.00,-147363.50
20260612,,长光华芯,-431,347.020,149565.62,17.26,74.78,0.00,149472.09
20260612,,麦格米特,1000,137.550,137550.00,15.87,0.00,0.00,-137567.25
20260612,,云南锗业,1700,92.111,156589.00,22.01,0.00,0.00,-156612.56
20260612,,中韩半...,0,0.000,613470.00,61.35,0.00,0.00,-2739.35
20260612,,中鸿高新,-1900,80.070,152133.00,17.56,76.07,0.00,152037.85
20260616,,亨通光电,1700,106.154,180462.00,23.38,0.00,0.00,-180487.20
20260616,,云南锗业,-1700,103.480,175916.00,20.30,87.95,0.00,175805.99
20260617,,亨通光电,500,107.882,420278.00,49.79,91.58,0.00,-54085.59
20260617,,麦格米特,0,0.000,353850.00,40.84,88.48,0.00,-122.90
20260622,,华润新能源,37,0.000,0.00,0.00,0.00,0.00,0.00
20260623,,风华高科,3200,70.160,224512.00,25.91,0.00,0.00,-224540.15
20260623,,亨通光电,-2200,118.588,260894.00,30.11,130.46,0.00,260730.82
20260623,,麦格米特,-1000,175.205,175205.00,20.22,87.60,0.00,175095.42
20260624,,三环集团,1500,149.460,224190.00,25.87,0.00,0.00,-224218.11
20260626,,风华高科,100,91.364,507696.00,58.59,124.64,0.00,-9324.33
20260626,,麦格米特,1600,161.220,257952.00,29.77,0.00,0.00,-257984.34
20260626,,三环集团,-1500,156.821,235232.00,27.15,117.63,0.00,235084.86
20260629,,风华高科,-3300,80.340,265122.00,30.60,132.57,0.00,264956.19
20260629,,欧陆通,800,331.350,265080.00,30.59,0.00,0.00,-265113.24
20260629,,托伦斯,19,0.000,0.00,0.00,0.00,0.00,0.00
